timestamp,bitcoin_closeprice,ethereum_closeprice,tether_closeprice,binancecoin_closeprice,ripple_closeprice,staked-ether_closeprice,solana_closeprice,cardano_closeprice,dogecoin_closeprice,tron_closeprice,rocket-pool-eth_closeprice,the-graph_closeprice,algorand_closeprice,whitebit_closeprice,usdd_closeprice,blockstack_closeprice,immutable-x_closeprice,xdce-crowd-sale_closeprice,havven_closeprice,elrond-erd-2_closeprice,frax_closeprice,eos_closeprice,theta-token_closeprice,injective-protocol_closeprice,tezos_closeprice,the-sandbox_closeprice,bitget-token_closeprice,axie-infinity_closeprice,bitcoin-cash-sv_closeprice,radix_closeprice
2023-07-10,30169.87065747925,1866.9167424803986,0.9998358275612065,234.14041889085686,0.4681921443187148,1862.6603992326957,21.351397376477994,0.2844534237451533,0.06534031056517546,0.0774556504823514,2005.1730765586478,0.11557271374930926,0.11039992651255347,5.384650191476081,0.9997891921770126,0.6379851600690182,0.695028638474045,0.03158742021493208,2.0720690904049417,34.5488239186084,0.9994252706486472,0.7248943059973626,0.720904501339876,8.194780486059615,0.8114420581045191,0.411994603038351,0.4717027414015704,5.785127607100006,40.68428411237596,0.057167851584719015
2023-07-11,30394.28114637557,1875.2742726720535,1.0000960808426629,245.43929822601103,0.47731724646757945,1879.1467989963696,21.302647128052204,0.28774757499525916,0.06519954622750847,0.07760628201214209,2022.611978885445,0.11420744053293935,0.10999835063281364,5.388051709343802,0.9994588915349347,0.6380216922725938,0.695925151914651,0.03155540546948994,2.0393759495249464,35.13561959035035,0.9992636974491206,0.725434738056036,0.7330273344776718,8.108729909055555,0.8124134980004325,0.4165696598244545,0.46531829236888506,5.782767683699427,41.16330809637393,0.056676217550902686
2023-07-12,30620.81424697801,1875.8658719294942,1.000126277483578,248.39835615416442,0.47546330271644877,1878.3759936263214,22.068233989934726,0.292666992631267,0.06532752284388427,0.07733867708377302,2023.705782134522,0.11409394993447891,0.10862920474180057,5.44641348077292,0.9996207265410408,0.6561025448425054,0.69651596254847,0.030821601202051258,2.031308122863219,35.476241233209194,0.9994518288565898,0.727107602028866,0.7515177329092472,8.010540578035904,0.8283570055633442,0.42413638273168947,0.46900670450865456,5.92302086827858,39.83075237835386,0.055508327474599634
2023-07-13,30407.41631435991,1873.5068153773982,1.0005074515751453,244.26861534786934,0.4713759020166678,1872.9384808768132,21.997627799970363,0.28873815784431617,0.06506972860943833,0.07790589297060665,2017.2904871011617,0.11672250571164422,0.1059622341466313,5.472983755876452,0.9999698778015127,0.6705507132756416,0.6925011921412619,0.03189375705335115,2.049895934064759,35.32038340442635,0.9986281123553555,0.7206853456063492,0.7577618410808753,7.981705983158061,0.8239402911938125,0.4233802249028146,0.473821724109666,5.993623135598438,39.632327742142095,0.05861605112432308
2023-07-14,31446.0149710716,2003.253616074307,1.0003916021641654,255.7882914766138,0.8125093807114796,2003.0451072851702,25.990368470421153,0.35688444399908936,0.0705333317221645,0.08163390821193223,2158.3057698637585,0.12287983802551174,0.12155148432585909,5.511982814307789,1.000145387805134,0.6843279327438502,0.7649209519712239,0.03401251106360979,2.1768166961400808,37.03846959093312,0.9992230856451682,0.8034358934842956,0.8323485747707774,8.759162575927517,0.9049927351080184,0.4784846073131855,0.47836534564989786,6.703160012506652,39.40236640474241,0.0650246384160609
2023-07-15,30311.827808130518,1935.9402407442033,1.0007066392877917,247.69585426653344,0.7196793898171404,1935.5808195845664,26.708371434451514,0.32866727694409686,0.06847111859565212,0.07978805320143387,2086.3881472069443,0.11966123153135247,0.11318878395360996,5.519648153002927,1.0000231489182962,0.6492310396698476,0.7479162750297461,0.03282161992695507,2.7352548412516344,36.3792710980057,0.9989078374273089,0.7721665674178715,0.8035359738699785,9.32871612095552,0.8767854130815457,0.4502000301047765,0.4745895445791913,6.386126865197946,36.46603260530987,0.06657063976421103
2023-07-16,30297.971400125534,1931.389384157173,1.0006530884475466,251.0929864734874,0.7132555900513394,1930.4817593886064,27.351375942539022,0.32593844313847714,0.07203318726335275,0.08085989080550224,2080.68917740314,0.12124594843763438,0.1135803312793349,5.522415739732436,0.9998882200358568,0.6460396744134761,0.7498765305819167,0.0325952566320984,2.8071450268313134,36.709424572382765,0.998640658315952,0.7721429509590243,0.8014047898520233,9.289072151227655,0.8801943098237118,0.4526942519297289,0.4730839213196152,6.313696217626499,37.08673227341224,0.06370781908075888
2023-07-17,30237.334785146097,1923.0359898160434,1.0005482868732642,242.7494914153577,0.7476671129966201,1923.0932643756641,27.365079998210923,0.314727725948605,0.06966182122142472,0.07980552585576103,2071.7002001864653,0.11855736284008218,0.11658216752126764,5.525486386968625,0.9990858503797125,0.6312397112681036,0.7413239763614474,0.03250376445040266,2.6373292797915644,37.03330628420257,0.9965689856262152,0.7561826435832373,0.7663829689666889,8.908884906221695,0.8598678471868448,0.4416318901713622,0.47312973765292204,6.197701491849384,36.00147904376066,0.06346637052596124
2023-07-18,30147.860079211525,1912.1228355695634,0.9998071871420023,244.19716787444656,0.7394962152284867,1910.5928154675446,26.861798043195297,0.3126042392523757,0.06997425090498402,0.07994692077801062,2060.0050482936986,0.12035497535199283,0.12008332646500665,5.506912194962184,0.9990803558185983,0.6376497194181534,0.7521122342938145,0.033903618893176606,2.656121498938811,37.17803457314321,0.9986446732504117,0.7764815394164802,0.7772187711389084,9.19107245404476,0.8639749116427139,0.45244437564296297,0.46992163897332834,6.33859770102825,36.66315888243764,0.05989574351369229
2023-07-19,29848.03227250528,1897.199112644643,1.0004809519836453,240.27093045084683,0.7812630940643422,1896.0090126564196,25.526176388954614,0.30693267761837023,0.06860952811110738,0.07979470553839346,2044.4642655382045,0.11574904978430031,0.11371268848155427,5.500130736641667,0.9998023937314748,0.6318879112587547,0.7287190471421974,0.03467718589766943,2.606169832015155,36.05419525805884,0.9990981183027515,0.7564499142375314,0.758303623070602,8.903843092178448,0.8252228038765972,0.44188138349256667,0.4646278112716495,6.283671198485863,35.971676192868216,0.059057292720111884
